id,adjective,sort order,context,excludes,likes elements,dislikes elements,needs elements,banned elements,likes weapons,dislikes weapons,ilvl,weapon class,elemental affinities,stat modifiers
wc-stick,Stick,100,weapon,,,,,,,,15,staff,,
wc-qstaff,Quarterstaff,100,weapon,,,,,,,,30,staff,,10:pd
wc-rod,Rod,100,weapon,,,,,,,,35,staff,,10:sd
wc-bo,Bo,100,weapon,,,,,,,,35,staff,,20:offense
wc-tome,Tome,100,weapon,,,,,,,,30,book,,
wc-grimoire,Grimoire,100,weapon,,,,,,,,35,book,,
wc-scroll,Scroll,100,weapon,,,,,,,,15,book,,
wc-glove,Glove,100,weapon,,,,,,,,35,fist,,10:sa
wc-gauntlet,Gauntlet,100,weapon,,,,,,,,30,fist,,
wc-bknuckles,Brass Knuckles,100,weapon,,,,,,,,15,fist,,
wc-cestus,Cestus,100,weapon,,,,,,,,35,fist,,10:pa
wc-hatchet,Hatchet,100,weapon,,,,,,,,30,axe,,
wc-broadaxe,Broadaxe,100,weapon,,,,,,,,35,axe,,
wc-axe,Axe,100,weapon,,,,,,,,15,axe,,
wc-sphere,Sphere,100,weapon,,,,,,,,30,orb,,
wc-orb,Orb,100,weapon,,,,,,,,35,orb,,
wc-marble,Marble,100,weapon,,,,,,,,15,orb,,
wc-twig,Twig,100,weapon,,,,,,,,15,wand,,
wc-wand,Wand,100,weapon,,,,,,,,30,wand,,
wc-rapier,Rapier,100,weapon,,,,,,,,30,rapier,,
wc-foil,Foil,100,weapon,,,,,,,,15,rapier,,
wc-epee,Epee,100,weapon,,,,,,,,35,rapier,,
wc-spear,Spear,100,weapon,,,,,,,,15,spear,,
wc-pike,Pike,100,weapon,,,,,,,,30,spear,,
wc-halberd,Halberd,100,weapon,,,,,,,,35,spear,,
wc-longbow,Longbow,100,weapon,,,,,,,,30,bow,,
wc-compbow,Composite Bow,100,weapon,,,,,,,,35,bow,,
wc-shortbow,Shortbow,100,weapon,,,,,,,,15,bow,,
wc-dagger,Dagger,100,weapon,,,,,,,,35,dagger,,
wc-knife,Knife,100,weapon,,,,,,,,15,dagger,,
wc-dirk,Dirk,100,weapon,,,,,,,,30,dagger,,
wc-cat9,Cat'o'nine,100,weapon,,,,,,,,35,whip,,
wc-crop,Crop,100,weapon,,,,,,,,15,whip,,
wc-whip,Whip,100,weapon,,,,,,,,30,whip,,
wc-bsword,Bastard Sword,100,weapon,,,,,,,,15,twohanded,,
wc-broadsword,Broadsword,100,weapon,,,,,,,,30,twohanded,,
wc-gsword,Greatsword,100,weapon,,,,,,,,35,twohanded,,
wc-tknives,Throwing Knives,100,weapon,,,,,,,,35,thrown,,
wc-dart,Darts,100,weapon,,,,,,,,15,thrown,,
wc-blowgun,Blowgun,100,weapon,,,,,,,,30,thrown,,
